Rank,Owner Address,Holding Unit,Holding Tokens,Holding %
1,bc1p2xnahmjcjsjq8yhakxfepcaay554tgn9swkwsz904lwg2zek3ueq2u6s8z,751,751000,3.5762%
2,bc1qqf5ljc66f5qj69ptu8sz8r9yxyd46hhnrh7xfz,720,720000,3.4286%
3,bc1pstwuu8w5j3thh5wme98z8dn44zfxmee8jnywlxzvzqlqfx9r9hqqump5vt,400,400000,1.9048%
4,bc1p6ypn9hgnahxjehqgep6x8jqarawesg53fjm0leneqqdgmu9s27uqkqumhn,339,339000,1.6143%
5,bc1pamvuf45gxfpqurlsdeme8qtjurmdk8e4rk9vpw9mdqp25yxc4cxqr5znce,300,300000,1.4286%
6,bc1qss0e0s7kpfrm8uqaax4jy93ss3xf3z0wc4lkdq,300,300000,1.4286%
7,bc1pym8lntdrpmgllu37dnrwzzugsyw6gh9njerqr5vc2crvv5sxpjdqpndwmz,300,300000,1.4286%
8,bc1q4qxq3u5kmscvhymg46afwq2el24y7fhf4hx802,240,240000,1.1429%
9,bc1pr63vlv9p3rp46w62han2jzhtw6g0zcv82ut9urymzt7x4vms4jqs4lxrc9,240,240000,1.1429%
10,bc1qux275ml5p420mtv5v5qc4dhq2vwwzllecvhr2y,225,225000,1.0714%
11,bc1p7ntxl3a30p7mu47ax6mye3620fy9x8aqa0nqsux7lj62mgk70tfs83a885,223,223000,1.0619%
12,bc1p7mh5r8z7z7stzuku9l5lrp5v8jkvuae3yk6j97ru577k4hgslwyq2r7we3,210,210000,1.0000%
13,bc1psu6hcst86yjesctg49myjvskamus348ejgn7wepfq072xf97a02ssry8aq,201,201000,0.9571%
14,bc1q29fw2fj980jgzdxtl9fzwwmwuya8nvmuj6nunf,200,200000,0.9524%
15,bc1p7jxnlcxf27yrh6fy6tthxv6qg9ms3ecurytz7nznwtw9ztnq9qxqwsevl8,200,200000,0.9524%
16,bc1qwsyjqfd6akfp3p07y83mnywzaz47dyc30l5r0m,200,200000,0.9524%
17,bc1pgmdrcf7e9n3ztm7egasr5sg70qemeqqjjzsl4pqchacl9qeqq86sru4fcw,194,194000,0.9238%
18,bc1pfvlf8syg7xvpg3gr84mm9dxw8gqkma0rkhd50ptx3gs44nvj5hpsgvrwgc,188,188000,0.8952%
19,bc1qv3r0r9hseeqq96urr6vvqt2enfmp0p92rw7eju,180,180000,0.8571%
20,bc1qkgcwy0crnsx7q92kg2jmtfkum8awng5yt7tkqm,180,180000,0.8571%
21,bc1peztavg5y638qn8mn03hjzd8pk22p6umnyhq8jx920zddxxf5sszsdfeff8,158,158000,0.7524%
22,bc1p32phtl6xvm863w38ae9jvexgz4ymj0p3a7n97kr6u5qefeuph2dsw7e32g,148,148000,0.7048%
23,bc1p46azgz2a0c9k8r0ph8pnyul2d276m9avpms9l286khyg8w28rgjqm8cdd5,144,144000,0.6857%
24,bc1pgaz4zj3vs7qdspvmnf7cvavdhptj48q2ls0gn70nla9l0nqmvdksal9wws,144,144000,0.6857%
25,bc1p2gwkgghpst7dtsh8hhdt2czr64rygxsyupexv3nkhxcea2je7rxqfjfsx9,143,143000,0.6810%
26,bc1qt0g9zwvvpr5xvm5dnpzrdr7wvcwccea83r5z82,143,143000,0.6810%
27,bc1p3285s2c8fjutrmhaur0ay4ltk9gx7nyslp5v67gpdu7zwkm50ecsay9mzw,143,143000,0.6810%
28,bc1qj576edzywff4dhute2htq62dj9rxdw3kzf3fqj,143,143000,0.6810%
29,bc1qsdyajxd9kfvxucmrvfe30te65a03qkv6w4aeme,143,143000,0.6810%
30,bc1p8sd5xz5kxevtucmv3h67x5rcyp3dktktmv05pln3l49t3aahxq0q85qndn,143,143000,0.6810%
31,bc1pp5pn9h8kew8dntr8cya49w0yaga75arrupkcdgjg62l86vnjj9qqry0grk,138,138000,0.6571%
32,bc1pyvgzy32lzhzajs8g8ml3jqffps66n042k46lmshy2w55t499snks0fzdpu,137,137000,0.6524%
33,bc1p6js0n9ej5sf6cnfdthwec4uwtv7tmc6n06w3z4ac3x94prlzu9ss8mdfvk,123,123000,0.5857%
34,bc1pqvy3c6gxs2t4ffrhewv5rwppql5ecveru8h2eyskwqtx2gtsqh8svds4qc,120,120000,0.5714%
35,bc1p6a9qytenjm0plgs7h8knk6numgyls2uwmnvg2percq2wp2h54u3s48sehx,120,120000,0.5714%
36,bc1pqxq0fj5mzatr4fl4x42dcdll6tz8grkk9tngfty2k9kvsmvsvzps0v0t7d,120,120000,0.5714%
37,bc1pr4mj8ptpqgy97ha44qfxc65060ep097ulg6u5q69y8r2fa5fmmyszu28sv,120,120000,0.5714%
38,bc1pkvywseagv36qp55tn6wegjh980m68n46lefpscda66udau2vdv3q5j2clz,120,120000,0.5714%
39,bc1p26pjvmz232j3xh7zkcvz94xqlgyuj4g9zf7dus76assdvwek2ndqdcaqzy,120,120000,0.5714%
40,bc1pgvl230nwk6yqcq57rn3v8h5pkt7k0pq2ery4xk29esrd3us3xyzqzcn8lz,120,120000,0.5714%
41,bc1q3aamq2lgv6qfmpk5yaxfq9fewke2wvv0c537ae,120,120000,0.5714%
42,bc1p059j440fna6my0mx5l7mt39lxdcsv3kmzcllhgrcjd5xg8ns0cjqe2yjqv,114,114000,0.5429%
43,bc1pxvd4fle207w0cjuw2eut7dsl3m0z5zd0yeanh3pp6068s67nsrlsq4ml7e,113,113000,0.5381%
44,bc1p9ckcepzljrv8glr8jtsjcukxcn2w93qgsv5us0pwxxfcl4yax9vqr3ak57,110,110000,0.5238%
45,bc1pv3dmhwkqwxj69fezatmwffnddacwmc9z99j2e4pjvez3pzpkhjksd0q65l,102,102000,0.4857%
46,bc1pk9swa9k56m8e36kllqn98jugve0d2jt00d0ahh7wvsg39p2ef3rqet6tmy,100,100000,0.4762%
47,bc1pprl3xre38zyf3n2qj53l77zsjy9c4p0ctuvd6l2p8d0rwqxhxahqg4seay,100,100000,0.4762%
48,bc1p6auqxwcpfynqf977j8x7466yhxgvsk55lpjrd8jpcl4jt5xrysmq3qh08s,100,100000,0.4762%
49,bc1pm58fw3vyexd754kwzpckdh77hehgh5urjcp6tgcjq52x58yfgn3sp2vv2f,100,100000,0.4762%
50,bc1pnagtj63hjydh833jx448r842h750z8zkp2jf285fuuwr5qg0hx5qjhr65q,100,100000,0.4762%
51,bc1pvspxa7ztg0estmdyvlm9nqfp99vyl3ephs0z9qeu9w3pfhzjj8msjptsqm,100,100000,0.4762%
52,bc1pacp9qpeamr48nf48000vl55mgph2s20d3wg5zm4dtznqhcwy5jjshha6fq,100,100000,0.4762%
53,bc1pwnct8zylmee5pg7vcz4jaqwfugctl2zyr9m96yk8lwsr7l94p4ns0rtt04,100,100000,0.4762%
54,bc1ps00hv5jceyaaz07l9y9ze5c920qnladd3axs04antj44frza2jjqvf5vus,100,100000,0.4762%
55,bc1p24sns7tgfs04xqrnh2du7lwc39rqw4lk70htm0k00ph239yd7c8q309844,100,100000,0.4762%
56,bc1pt7t5j542zumw446qpacw5khvrnnf6p90sqm52v4lvdp0jc8tqx0qj4fnjz,100,100000,0.4762%
57,bc1paer7rxsxgwclxpmpu29f7p0gm290v8w7s9w6nyj34qlrepeykmlsuv8zcv,100,100000,0.4762%
58,bc1pvu2t3mwd7nu3gg0mz8e0757z0sx5r2pzpcvaul6yvrvl57dqtk7qlqh0t6,100,100000,0.4762%
59,bc1pxm2pmmp0smwnz2e6qrz8dq8457tc72mn267trpwratsnmhqc6rssg982vq,100,100000,0.4762%
60,bc1p2jatkdptlrkf7m2qtzds22cu273rgq685atxtlmx5tehvgctxelsnj0ay5,100,100000,0.4762%
61,bc1p6tp4m06dsyanek03f2u8gxr2xytnu43q3xgwg50945ns5fer9yfqm3thr2,100,100000,0.4762%
62,bc1pr9u2glg07040hcmt6h9gc0406uqdp89smemlc55g6ehjachc73dqy9vwpl,100,100000,0.4762%
63,bc1p2m8cvdugae89mm84pfu27usy3uq4hddhu7myzyzwnfjh0m3zyqvsmdzsu2,100,100000,0.4762%
64,bc1pnpfgltdu6mjcesyt50fcvazc7slw2dz2w7wkvq7v4pd9n2waw64q74lu0y,99,99000,0.4714%
65,bc1qxd2e3n7fam9vll78u8wnnpjfy5pe7ek9ac4m2m,96,96000,0.4571%
66,bc1px0fc902xaqvxaz2z904dqmn3vneyqxq487wgcwr26y5pe358mxrs7thd8t,95,95000,0.4524%
67,bc1p807nq87k7udqjf60d8dwp2e7xtg5wnvqds489068tdrg3l7udwwssy7esx,95,95000,0.4524%
68,bc1p2s4970pp5dy549nswrrzyw395qycpe3ngdhn7q3rc4572cld7gnsec3vcr,92,92000,0.4381%
69,1GvcWkpdyYEy626mcQHzoSobdry2SDcpdK,92,92000,0.4381%
70,bc1pje53nv3355sr9g5kfncvshcvxd6yyja7cy6lstgufcyvraexx78q4cddse,92,92000,0.4381%
71,bc1p57t8z3h5ejdmww7kfkrak7ugv3ttxwrtduk5pzv7u2rfh666ve2qlvmpj8,91,91000,0.4333%
72,bc1p9z3c0e74gv0hzjaxannvmzen3v5ze8989wual8put5uzxklgqj3qr4aent,90,90000,0.4286%
73,bc1pr4mq9wk2zhczhqga4fncj6uld832r7544heqd3vxec7ah0yrqryssn3dfk,90,90000,0.4286%
74,16sk48U1X5aQWZVjDseqVWzBHFfH64RHxH,90,90000,0.4286%
75,17MD3S5oeZWga1hsscgkijEWUqXyVpL53X,90,90000,0.4286%
76,1DEdAg3eC7PFHQi1Hpx9de8J2Uk3Ud4E3f,90,90000,0.4286%
77,1FKc9DqrHaCFcp2RzBGGMHvdz8oQNoBsYZ,90,90000,0.4286%
78,bc1pgfnrydslvv9vdzp5xss9h8etjtm06ae0j0ma2a7g3qjs25usc69ss62rzz,87,87000,0.4143%
79,bc1p99dwd95ydz2xc0k753la0lyz66v4mmmqky4zv30gqyrdzemx6lls7fsgvf,87,87000,0.4143%
80,bc1p5psq0q50rcklj69zhnu7saz7qnxr3v8grgfyyuph8ch2jy5f8vcqkh5pz0,86,86000,0.4095%
81,bc1plq5qn9rd6hhqymq3tclynmew80j906wpt3x9cs3dmhdqe4t7rasq5kvc9n,84,84000,0.4000%
82,bc1pyr2rzuh4f5umq5zcgpxnm2efpg8fqw2w2dgm6tuk6t4w7jj2zvwqa4hku7,83,83000,0.3952%
83,bc1pyjd2jxfy4yr97pfx0nynyw4slsrmgeq64xzjsneh2fcxdjtdnnxsuyekfx,81,81000,0.3857%
84,bc1qdxpuzu8jlk4scq6nq8ya0h054pfyhwyndt5prx,80,80000,0.3810%
85,bc1pqmrjnfxmq35tydzpztjtv4pn0q0dvvqjlqkent7d73qez393d3rsyytugr,80,80000,0.3810%
86,bc1pn99u9rm8wxxaueyg6fhur90mczrh8zuthptkvg6dztaa5kfq7hasmujmjp,80,80000,0.3810%
87,bc1pk66ku3phxj9wh6sxh23mv68jmgencwl4uq4458mvrvmwqtydrmsq6zdvku,80,80000,0.3810%
88,bc1pturvq2jaa8xjstcycwu660s440rr4sldy85zv8d5ne5deqggm48sz072j0,79,79000,0.3762%
89,bc1q2l3f823772lfkgm2xuwwau8kxej8cytsr3yy7k,78,78000,0.3714%
90,bc1p3vadm5ufl4sa6veerq55wzck2phnnw8sytjv4fdhjnqjk0zjglrsvclnkd,75,75000,0.3571%
91,bc1pks4xwarrnjg2kjs3vj6rhy2hmqm4amd7exhz0agzf8g8tg3vshksgxa4uf,70,70000,0.3333%
92,bc1py7x6gy2s9pgs0s48pg8qruqlx269fpqwrck0kdklx6p2l2heqrpq6mf54a,70,70000,0.3333%
93,bc1p7zg3zzecv8djrfsxuwl9chs7wmkje6exa7u567np6j8uqwck39uq56u95t,70,70000,0.3333%
94,bc1phfr3zy98ep5ckjfdlpr8aag5ykfpkptlqphku5qkhcgjhhqalzxs00y29m,70,70000,0.3333%
95,bc1p5ha4tmn3t9x9ck8c3k4fvkjtjz4nh9zdpdmfvmwmhad63drxp5rstqrrew,69,69000,0.3286%
96,bc1pj5rhf8rdgf4uca3c86xjlhul6pk50r728qfp9r6x9drm4cryn3eq5ym8cj,69,69000,0.3286%
97,bc1p353jt3m0nr3vwaua6h39gn5p95m7ft3av4227cxsgxzv3z7jmulqr35kvr,67,67000,0.3190%
